ASV,classification
Trichosporon-ASV50,NoSig
Trichosporon-ASV3308,NoSig
Trichosporon-ASV2255,NoSig
Trichosporon-ASV2724,NoSig
Trichosporon-ASV4095,NoSig
Trichosporon-ASV3914,NoSig
Trichosporon-ASV4087,NoSig
Trichosporon-ASV2842,NoSig
Trichosporon-ASV2966,NoSig
Trichosporon-ASV3199,NoSig
Trichosporon-ASV2719,NoSig
Trichosporon-ASV1784,NoSig
Trichosporon-ASV1295,NoSig
Trichosporon-ASV282,NoSig
Trichosporon-ASV47,NoSig
Trichosporon-ASV2647,NoSig
Trichosporon-ASV4528,NoSig
Trichosporon-ASV1482,NoSig
Trichosporon-ASV3871,NoSig
Trichosporon-ASV245,NoSig
Trichosporon-ASV2512,NoSig
Trichosporon-ASV3868,NoSig
Trichosporon-ASV3930,NoSig
Trichosporon-ASV4498,NoSig
Trichosporon-ASV3776,NoSig
Trichosporon-ASV3068,NoSig
Trichosporon-ASV792,NoSig
Trichosporon-ASV3042,NoSig
Trichosporon-ASV1312,NoSig
Trichosporon-ASV2967,NoSig
Trichosporon-ASV4661,NoSig
Trichosporon-ASV4383,NoSig
Trichosporon-ASV883,NoSig
Trichosporon-ASV3020,NoSig
Trichosporon-ASV2671,NoSig
Trichosporon-ASV581,NoSig
Trichosporon-ASV3816,NoSig
Trichosporon-ASV177,NoSig
Trichosporon-ASV4420,NoSig
Trichosporon-ASV3881,NoSig
Trichosporon-ASV4516,NoSig
Trichosporon-ASV1405,NoSig
Trichosporon-ASV289,NoSig
Trichosporon-ASV3809,NoSig
Trichosporon-ASV3814,NoSig
Trichosporon-ASV937,NoSig
Trichosporon-ASV1039,NoSig
Trichosporon-ASV3358,NoSig
Trichosporon-ASV1163,NoSig
Trichosporon-ASV2210,NoSig
Trichosporon-ASV3529,NoSig
Trichosporon-ASV4023,NoSig
Trichosporon-ASV2180,NoSig
Trichosporon-ASV565,NoSig
Trichosporon-ASV2993,NoSig
Trichosporon-ASV4172,NoSig
Trichosporon-ASV4425,NoSig
Trichosporon-ASV2189,NoSig
Trichosporon-ASV3867,NoSig
Trichosporon-ASV2464,NoSig
Trichosporon-ASV11,NoSig
Trichosporon-ASV65,NoSig
Trichosporon-ASV2846,NoSig
Trichosporon-ASV1901,NoSig
Trichosporon-ASV3873,NoSig
Trichosporon-ASV1223,NoSig
Trichosporon-ASV4360,NoSig
Trichosporon-ASV3833,NoSig
Trichosporon-ASV2424,NoSig
Trichosporon-ASV4733,NoSig
Trichosporon-ASV2275,NoSig
Trichosporon-ASV1747,NoSig
Trichosporon-ASV3066,NoSig
Trichosporon-ASV1193,NoSig
Trichosporon-ASV3316,NoSig
Trichosporon-ASV4361,NoSig
Trichosporon-ASV3719,NoSig
Trichosporon-ASV2806,NoSig
Trichosporon-ASV4350,NoSig
Trichosporon-ASV4674,NoSig
Trichosporon-ASV4423,NoSig
Trichosporon-ASV3121,NoSig
Trichosporon-ASV3693,NoSig
Trichosporon-ASV1065,NoSig
Trichosporon-ASV1135,NoSig
Trichosporon-ASV3993,NoSig
Trichosporon-ASV3799,NoSig
Trichosporon-ASV4273,NoSig
Trichosporon-ASV3547,NoSig
Trichosporon-ASV4232,NoSig
Trichosporon-ASV4541,NoSig
Trichosporon-ASV3262,NoSig
Trichosporon-ASV3524,NoSig
Trichosporon-ASV2347,NoSig
Trichosporon-ASV4800,NoSig
Trichosporon-ASV3849,NoSig
Trichosporon-ASV228,NoSig
Trichosporon-ASV1921,NoSig
Trichosporon-ASV4349,NoSig
Trichosporon-ASV46,NoSig
Trichosporon-ASV3828,NoSig
Trichosporon-ASV1443,NoSig
Trichosporon-ASV3533,NoSig
Trichosporon-ASV4263,NoSig
Trichosporon-ASV4342,NoSig
Trichosporon-ASV1983,NoSig
Trichosporon-ASV3843,NoSig
Trichosporon-ASV4782,NoSig
Trichosporon-ASV3623,NoSig
Trichosporon-ASV2978,NoSig
Trichosporon-ASV5188,NoSig
Trichosporon-ASV1821,NoSig
Trichosporon-ASV3923,NoSig
Trichosporon-ASV5625,NoSig
Trichosporon-ASV2892,NoSig
Trichosporon-ASV3889,NoSig
Trichosporon-ASV2434,NoSig
Trichosporon-ASV5530,NoSig
Trichosporon-ASV4397,NoSig
Trichosporon-ASV3351,NoSig
Trichosporon-ASV2734,NoSig
Trichosporon-ASV182,NoSig
Trichosporon-ASV4471,NoSig
Trichosporon-ASV3711,NoSig
Trichosporon-ASV3592,NoSig
Trichosporon-ASV3498,NoSig
Trichosporon-ASV2492,NoSig
Trichosporon-ASV479,NoSig
Trichosporon-ASV3760,NoSig
Trichosporon-ASV2155,NoSig
Trichosporon-ASV4272,NoSig
Trichosporon-ASV6821,NoSig
Trichosporon-ASV3645,NoSig
Vanrija-humicola-ASV6801,Outgroup
Vanrija-humicola-ASV3781,Outgroup
Trichosporon-ovoides-2NF903Bctg_85-NCBI,RefSequence
Trichosporon-sp-Bio4-Blast,RefSequence
Trichosporon-sp-mYJrh51-Blast,RefSequence
