"","sp2_name","sp1_name","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","PhylumITS","ClassITS","OrderITS","FamilyITS","GenusITS","SpeciesITS","Phylum16S","Class16S","Order16S","Family16S","Genus16S","Species16S"
"1322","ASV8022","ITS526",526,1868,4,38,0,0.029,2.1,0.04811,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Bacteroidetes","Bacteroidia","Bacteroidales","uncultured","uncultured bacterium","uncultured bacterium"
"1323","ASV8034","ITS970",970,1435,6,36,0,0.041,3,0.01366,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","Neosetophoma_rosigena","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"1324","ASV8034","ITS721",721,1435,5,36,0,0.034,2.5,0.02902,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas"
"1325","ASV8043","ITS104",104,1815,17,12,0,0.038,2.8,0.03037,1,"Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporobolomyces","Sporobolomyces_roseus","BRC1","BRC1","BRC1","BRC1","BRC1","BRC1"
"1326","ASV8043","ITS740",740,1815,17,12,0,0.038,2.8,0.03037,1,"Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Verrucocladosporium","Verrucocladosporium_dirinae","BRC1","BRC1","BRC1","BRC1","BRC1","BRC1"
"1327","ASV8062","ITS1040",1040,1407,4,40,0,0.03,2.2,0.0376,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_culbertsonii","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter","uncultured Leucobacter sp."
"1328","ASV8062","ITS817",817,1407,6,40,0,0.045,3.3,0.00651,1,"Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidium","Leucosporidium_creatinivorum","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter","uncultured Leucobacter sp."
"1329","ASV8062","ITS133",133,1407,4,40,0,0.03,2.2,0.0376,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter","uncultured Leucobacter sp."
"1330","ASV8067","ITS111",111,1792,20,10,0,0.038,2.7,0.03138,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","Luteimonas"
"1331","ASV8067","ITS674",674,1792,19,10,0,0.036,2.6,0.03852,1,"unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas","Luteimonas"
"1332","ASV8095","ITS1092",1092,1441,3,46,0,0.026,1.9,0.04703,1,"Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Microbotryomycetes_fam_Incertae_sedis","Curvibasidium","Curvibasidium_cygneicollum","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hydrogenophaga","Hydrogenophaga"
"1333","ASV8095","ITS1040",1040,1441,4,46,0,0.035,2.5,0.01612,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_culbertsonii","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hydrogenophaga","Hydrogenophaga"
"1334","ASV8149","ITS498",498,2059,8,27,0,0.041,3,0.01941,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_melanoconidium","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium"
"1335","ASV8166","ITS114",114,1930,10,22,0,0.041,3,0.02057,1,"Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_indohii","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","Bacteroidetes bacterium ADurb.Bin217"
"1336","ASV8166","ITS804",804,1930,10,22,0,0.041,3,0.02057,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_sydowii","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","Bacteroidetes bacterium ADurb.Bin217"
"1337","ASV8166","ITS472",472,1930,9,22,0,0.037,2.7,0.03134,1,"Ascomycota","Sordariomycetes","Microascales","Microascaceae","Lophotrichus","Lophotrichus_fimeti","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","Bacteroidetes bacterium ADurb.Bin217"
"1338","ASV8166","ITS110",110,1930,10,22,0,0.041,3,0.02057,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_sydowii","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","Bacteroidetes bacterium ADurb.Bin217"
"1339","ASV8166","ITS373",373,1930,10,22,0,0.041,3,0.02057,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora","unidentified","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","Bacteroidetes bacterium ADurb.Bin217"
"1340","ASV8166","ITS442",442,1930,10,22,0,0.041,3,0.02057,1,"Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","uncultured","Bacteroidetes bacterium ADurb.Bin217"
"1341","ASV8171","ITS912",912,1793,5,34,0,0.032,2.3,0.03833,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces_hampshirensis","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas caeni"
"1342","ASV8171","ITS721",721,1793,5,34,0,0.032,2.3,0.03833,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas caeni"
"1343","ASV8198","ITS498",498,1839,8,23,0,0.035,2.5,0.03994,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_melanoconidium","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"1344","ASV8198","ITS773",773,1839,11,23,0,0.047,3.5,0.0105,1,"Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","Armillaria_borealis","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"1345","ASV8198","ITS538",538,1839,8,23,0,0.035,2.5,0.03994,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces_anomalus","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"1346","ASV8239","ITS573",573,1493,2,64,0,0.024,1.8,0.0137,1,"Ascomycota","Sordariomycetes","Microascales","Microascaceae","Petriellopsis","Petriellopsis_africana","Firmicutes","Clostridia","Clostridiales","Clostridiales","Clostridiales","Clostridiales"
"1347","ASV8239","ITS1057",1057,1493,2,64,0,0.024,1.8,0.0137,1,"Ascomycota","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Firmicutes","Clostridia","Clostridiales","Clostridiales","Clostridiales","Clostridiales"
"1348","ASV8239","ITS793",793,1493,2,64,0,0.024,1.8,0.0137,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Firmicutes","Clostridia","Clostridiales","Clostridiales","Clostridiales","Clostridiales"
"1349","ASV8239","ITS466",466,1493,2,64,0,0.024,1.8,0.0137,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Firmicutes","Clostridia","Clostridiales","Clostridiales","Clostridiales","Clostridiales"
"1350","ASV8253","ITS538",538,2014,8,24,0,0.036,2.6,0.03355,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces_anomalus","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","uncultured bacterium","uncultured bacterium"
"1351","ASV8253","ITS750",750,2014,8,24,0,0.036,2.6,0.03355,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_caesiellus","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","uncultured bacterium","uncultured bacterium"
"1352","ASV8268","ITS1013",1013,2335,6,36,0,0.041,3,0.01366,1,"Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema","Sistotrema_brinkmannii","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-002","uncultured bacterium"
"1353","ASV8268","ITS721",721,2335,5,36,0,0.034,2.5,0.02902,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae UCG-002","uncultured bacterium"
"1354","ASV8270","ITS169",169,1446,6,39,0,0.044,3.2,0.0079,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)"
"1355","ASV8270","ITS979",979,1446,4,39,0,0.029,2.1,0.04261,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_rhodanensis","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)"
"1356","ASV8270","ITS1026",1026,1446,4,39,0,0.029,2.1,0.04261,1,"Ascomycota","Dothideomycetes","Pleosporales","Pleosporales","Pleosporales","Pleosporales","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)"
"1357","ASV8270","ITS1040",1040,1446,4,39,0,0.029,2.1,0.04261,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_culbertsonii","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)"
"1358","ASV8270","ITS721",721,1446,5,39,0,0.037,2.7,0.01853,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Patescibacteria","Gracilibacteria","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)","Absconditabacteriales (SR1)"
"1359","ASV8295","ITS1026",1026,1748,4,40,0,0.03,2.2,0.0376,1,"Ascomycota","Dothideomycetes","Pleosporales","Pleosporales","Pleosporales","Pleosporales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","uncultured bacterium","uncultured bacterium"
"1360","ASV8306","ITS442",442,1721,10,26,0,0.049,3.6,0.00833,1,"Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Ascomycota","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","Christensenellaceae R-7 group"
"1361","ASV8306","ITS888",888,1721,7,26,0,0.034,2.5,0.0386,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","Christensenellaceae R-7 group"
"1362","ASV8306","ITS538",538,1721,8,26,0,0.039,2.8,0.02339,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces_anomalus","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","Christensenellaceae R-7 group"
"1363","ASV8306","ITS750",750,1721,8,26,0,0.039,2.8,0.02339,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus_caesiellus","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae R-7 group","Christensenellaceae R-7 group"
"1364","ASV8343","ITS580",580,2323,7,29,0,0.038,2.8,0.02352,1,"Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidiaceae","Filobasidiaceae","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","uncultured rumen bacterium"
"1365","ASV8343","ITS786",786,2323,7,29,0,0.038,2.8,0.02352,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","uncultured rumen bacterium"
"1366","ASV8343","ITS169",169,2323,6,29,0,0.033,2.4,0.04147,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","uncultured rumen bacterium"
"1367","ASV8344","ITS273",273,1804,23,8,0,0.035,2.5,0.03994,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_spinulosum","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger"
"1368","ASV8344","ITS141",141,1804,24,8,0,0.036,2.6,0.03355,1,"Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_wieringae","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger"
"1369","ASV8344","ITS142",142,1804,23,8,0,0.035,2.5,0.03994,1,"Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","unidentified","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger"
"1370","ASV8344","ITS211",211,1804,25,8,0,0.038,2.7,0.02807,1,"Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","Sarocladium_zeae","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger"
"1371","ASV8352","ITS806",806,1772,5,41,0,0.038,2.8,0.01341,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 1","uncultured bacterium"
