"","sp2_name","sp1_name","sp1","sp2","sp1_inc","sp2_inc","obs_cooccur","prob_cooccur","exp_cooccur","p_lt","p_gt","PhylumITS","ClassITS","OrderITS","FamilyITS","GenusITS","SpeciesITS","Phylum16S","Class16S","Order16S","Family16S","Genus16S","Species16S"
"313","ASV16776","ITS591",591,1256,10,14,0,0.046,2.5,0.03833,1,"Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","Sarocladium_implicatum","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella pyogenes"
"314","ASV16827","ITS1013",1013,2075,5,26,0,0.043,2.4,0.03414,1,"Basidiomycota","Agaricomycetes","Cantharellales","Cantharellales_fam_Incertae_sedis","Sistotrema","Sistotrema_brinkmannii","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae","Lachnospiraceae"
"315","ASV16891","ITS1040",1040,1179,2,51,0,0.034,1.9,0.00404,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera_culbertsonii","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","uncultured Porphyromonadaceae bacterium"
"316","ASV16922","ITS969",969,1412,5,24,0,0.04,2.2,0.04884,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Moheibacter","uncultured compost bacterium"
"317","ASV16927","ITS323",323,1737,9,16,0,0.048,2.6,0.03333,1,"Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_fusarioides","Actinobacteria","Actinobacteria","Micrococcales","Micrococcales Incertae Sedis","Timonella","Timonella"
"318","ASV16931","ITS15",15,2023,13,11,0,0.047,2.6,0.03577,1,"Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Exserohilum_turcicum","Firmicutes","Clostridia","Clostridiales","Family XI","W5053","Neofamilia massiliensis"
"319","ASV16941","ITS106",106,2071,4,32,0,0.042,2.3,0.02596,1,"Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sporotrichioides","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Quinella","uncultured bacterium"
"320","ASV17000","ITS733",733,1438,4,33,0,0.044,2.4,0.02145,1,"Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Neurospora","Neurospora_terricola","Proteobacteria","Gammaproteobacteria","Alteromonadales","Marinobacteraceae","Marinobacter","Marinobacter"
"321","ASV17137","ITS865",865,2211,6,22,0,0.044,2.4,0.03821,1,"Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidiaceae","Filobasidiaceae","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","uncultured","uncultured"
"322","ASV17198","ITS563",563,1291,5,25,0,0.041,2.3,0.04096,1,"Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_kratochvilovae","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Moheibacter","uncultured bacterium"
"323","ASV17201","ITS323",323,1609,9,16,0,0.048,2.6,0.03333,1,"Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_fusarioides","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Moheibacter","uncultured bacterium"
"324","ASV17244","ITS859",859,1571,4,30,0,0.04,2.2,0.03709,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora","unidentified","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae","Rhodobacteraceae"
"325","ASV17279","ITS111",111,2227,11,13,0,0.047,2.6,0.03577,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter","Arcobacter thereius"
"326","ASV17294","ITS731",731,1207,2,45,0,0.03,1.6,0.0303,1,"Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon_ovoides","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum"
"327","ASV17294","ITS66",66,1207,2,45,0,0.03,1.6,0.0303,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum"
"328","ASV17294","ITS154",154,1207,2,45,0,0.03,1.6,0.0303,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum"
"329","ASV17294","ITS901",901,1207,2,45,0,0.03,1.6,0.0303,1,"Ascomycota","Dothideomycetes","Pleosporales","Pleosporales","Pleosporales","Pleosporales","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum"
"330","ASV17294","ITS406",406,1207,2,45,0,0.03,1.6,0.0303,1,"Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum"
"331","ASV17294","ITS225",225,1207,2,45,0,0.03,1.6,0.0303,1,"Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum"
"332","ASV17294","ITS545",545,1207,2,45,0,0.03,1.6,0.0303,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum"
"333","ASV17294","ITS695",695,1207,2,45,0,0.03,1.6,0.0303,1,"Ascomycota","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Sordariomycetes","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","Proteiniphilum"
"334","ASV17334","ITS238",238,2138,14,10,0,0.046,2.5,0.03833,1,"Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","unidentified","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae","Rhodobacteraceae"
"335","ASV17337","ITS62",62,2088,29,4,0,0.038,2.1,0.04383,1,"Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia","Neodevriesia","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas"
"336","ASV17407","ITS133",133,1698,6,22,0,0.044,2.4,0.03821,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"337","ASV17407","ITS675",675,1698,6,22,0,0.044,2.4,0.03821,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Nakazawaea","Nakazawaea_ishiwadae","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"338","ASV17407","ITS540",540,1698,6,22,0,0.044,2.4,0.03821,1,"Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium"
"339","ASV17501","ITS683",683,1553,3,35,0,0.035,1.9,0.04345,1,"Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Iodophanus","Iodophanus_testaceus","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae","Methanocorpusculum","Methanocorpusculum"
"340","ASV17537","ITS367",367,2018,8,18,0,0.048,2.6,0.03171,1,"Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","Ascobolus_lineolatus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus"
"341","ASV17636","ITS111",111,2171,11,13,0,0.047,2.6,0.03577,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Wickerhamomyces","Wickerhamomyces","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella 2","uncultured bacterium"
"342","ASV17651","ITS25",25,2113,29,5,0,0.048,2.6,0.01891,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_friedrichii","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium"
"343","ASV17674","ITS967",967,1711,4,31,0,0.041,2.3,0.03116,1,"Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_rademirici","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella 4","uncultured bacterium"
"344","ASV17720","ITS967",967,1483,4,29,0,0.038,2.1,0.04383,1,"Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_rademirici","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium"
"345","ASV17720","ITS608",608,1483,4,29,0,0.038,2.1,0.04383,1,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium"
"346","ASV17722","ITS563",563,1636,5,26,0,0.043,2.4,0.03414,1,"Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","Rhodotorula_kratochvilovae","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Azoarcus","Azoarcus"
"347","ASV17722","ITS603",603,1636,5,26,0,0.043,2.4,0.03414,1,"Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris_sorokiniana","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Azoarcus","Azoarcus"
"348","ASV17724","ITS859",859,1368,4,34,0,0.045,2.5,0.01755,1,"Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora","unidentified","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured bacterium"
"349","ASV17758","ITS129",129,1540,2,43,0,0.028,1.6,0.04444,1,"Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Ruminobacter","gut metagenome"
