"","Phylum","Class","Order","Family","Genus","Species","Confidence","OTUs"
"ITS268","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum_gracile","0.9991921","b7e0b673d04d3f7c1c9de708fa11d4dc"
"ITS269","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_muriae","0.9999021","da10d2a9edf66944e7a3109c9e347961"
"ITS270","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sarocladium","Sarocladium_strictum","0.9930217","bc204643d04c26049d2a96fd647745c8"
"ITS271","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9888804","3209c1bbce53087e0ed85d45ffaf9116"
"ITS272","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","Candida_vespimorsuum","0.8417830","5748d94f7c332ca2a6dea88084c00ca2"
"ITS273","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_spinulosum","0.9999546","24aeaede472e53867d350ceb80d926a9"
"ITS274","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","b209ae2cb666958848795d5a091492e5"
"ITS275","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9866941","e0073239066f4a88c39ff70eecf92bc3"
"ITS276","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9171936","334d228db4192597a33c3199870215ae"
"ITS277","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Apiotrichum","Apiotrichum","0.7485585","111a98702bb84fa2fd5d1266c02ddd03"
"ITS278","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9769217","9081db1c51e1da414b9439aae3aedd25"
"ITS279","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","9a10f04fcbd5872128bc087178edcd55"
"ITS280","Fungi","Fungi","Fungi","Fungi","Fungi","Fungi","1.0000000","92af287335b2264ef0c42ebf939f1ab8"
"ITS281","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_victoriae","0.9999928","8ea1327f753e70cc6bbfbc6829107689"
"ITS282","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","unidentified","0.8648167","1f57ede308dc13411dc94214db17071f"
"ITS283","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Cutaneotrichosporon","Cutaneotrichosporon_cyanovorans","0.9998195","a32e5337dba1c341197d135462c8b8b5"
"ITS284","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Hydropisphaera","Hydropisphaera_fungicola","0.9999858","a4106101d4deb4a180535aef12b640ab"
"ITS285","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Issatchenkia","Issatchenkia_orientalis","0.9845147","a328fec61986bbf1f29bf93b8a5162fd"
